underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
NVDA,2026-01-11,NVDA,2026-01-16,8.0,C,,,,182.71,2.0,,175.3,,178.45,171.04,171.64,,,10.125003671875001,,,,,,,175.3,,178.45,171.04,171.64,,106.0,
NVDA,2026-01-11,NVDA,2026-01-16,9.0,C,,,,185.55,10.0,,182.45,,184.5,171.04,171.64,,,34.992192032470705,,,,,,,182.45,,184.5,171.04,171.64,,212.0,
NVDA,2026-01-11,NVDA,2026-01-16,10.0,C,,,,174.55,1.0,,174.15,,175.65,171.04,171.64,,,9.781253886718751,,,,,,,174.15,,175.65,171.04,171.64,,15486.0,
NVDA,2026-01-11,NVDA,2026-01-16,11.0,C,,,,170.4,2.0,,179.55,,182.5,171.04,171.64,,,27.359376450195313,,,,,,,179.55,,182.5,171.04,171.64,,36.0,
NVDA,2026-01-11,NVDA,2026-01-16,12.0,C,,,,173.2,1.0,,171.3,,174.45,171.04,171.64,,,8.75000453125,,,,,,,171.3,,174.45,171.04,171.64,,146.0,
NVDA,2026-01-11,NVDA,2026-01-16,13.0,C,,,,178.28,1.0,,166.85,,170.35,171.04,171.64,,,1.0000000000000003e-05,,,,,,,166.85,,170.35,171.04,171.64,,208.0,
NVDA,2026-01-11,NVDA,2026-01-16,14.0,C,,,,170.85,1.0,,169.3,,172.45,171.04,171.64,,,8.218754863281248,,,,,,,169.3,,172.45,171.04,171.64,,281.0,
NVDA,2026-01-11,NVDA,2026-01-16,15.0,C,,,,173.8,1.0,,168.3,,171.4,171.04,171.64,,,7.437500703125,,,,,,,168.3,,171.4,171.04,171.64,,772.0,
NVDA,2026-01-11,NVDA,2026-01-16,16.0,C,,,,167.13,1.0,,167.5,,170.45,171.04,171.64,,,8.828129482421875,,,,,,,167.5,,170.45,171.04,171.64,,1463.0,
NVDA,2026-01-11,NVDA,2026-01-16,17.0,C,,,,174.15,27.0,,166.3,,169.45,171.04,171.64,,,7.562500546875,,,,,,,166.3,,169.45,171.04,171.64,,454.0,
NVDA,2026-01-11,NVDA,2026-01-16,18.0,C,,,,170.26,10.0,,165.3,,168.45,171.04,171.64,,,7.37500078125,,,,,,,165.3,,168.45,171.04,171.64,,515.0,
NVDA,2026-01-11,NVDA,2026-01-16,19.0,C,,,,168.3,1.0,,164.3,,167.45,171.04,171.64,,,7.2187509765625,,,,,,,164.3,,167.45,171.04,171.64,,371.0,
NVDA,2026-01-11,NVDA,2026-01-16,20.0,C,,,,169.53,2.0,,163.5,,166.4,171.04,171.64,,,7.812500234374999,,,,,,,163.5,,166.4,171.04,171.64,,1133.0,
NVDA,2026-01-11,NVDA,2026-01-16,21.0,C,,,,164.29,28.0,,162.5,,165.45,171.04,171.64,,,7.79687525390625,,,,,,,162.5,,165.45,171.04,171.64,,375.0,
NVDA,2026-01-11,NVDA,2026-01-16,22.0,C,,,,165.39,5.0,,161.45,,164.45,171.04,171.64,,,7.460938173828126,,,,,,,161.45,,164.45,171.04,171.64,,281.0,
NVDA,2026-01-11,NVDA,2026-01-16,23.0,C,,,,152.22,21.0,,160.3,,163.45,171.04,171.64,,,6.593751757812501,,,,,,,160.3,,163.45,171.04,171.64,,432.0,
NVDA,2026-01-11,NVDA,2026-01-16,24.0,C,,,,167.98,10.0,,159.5,,162.45,171.04,171.64,,,7.312500859375,,,,,,,159.5,,162.45,171.04,171.64,,1041.0,
NVDA,2026-01-11,NVDA,2026-01-16,25.0,C,,,,160.8,65.0,,159.45,,160.75,171.04,171.64,,,7.7578128027343745,,,,,,,159.45,,160.75,171.04,171.64,,1368.0,
NVDA,2026-01-11,NVDA,2026-01-16,26.0,C,,,,163.35,20.0,,157.45,,160.45,171.04,171.64,,,6.8593764257812495,,,,,,,157.45,,160.45,171.04,171.64,,196.0,
NVDA,2026-01-11,NVDA,2026-01-16,27.0,C,,,,157.15,1.0,,163.35,,166.4,171.04,171.64,,,15.28710982055664,,,,,,,163.35,,166.4,171.04,171.64,,789.0,
NVDA,2026-01-11,NVDA,2026-01-16,28.0,C,,,,158.27,20.0,,155.5,,158.45,171.04,171.64,,,6.7500015625000005,,,,,,,155.5,,158.45,171.04,171.64,,370.0,
NVDA,2026-01-11,NVDA,2026-01-16,29.0,C,,,,159.71,2.0,,154.45,,157.45,171.04,171.64,,,6.476564404296875,,,,,,,154.45,,157.45,171.04,171.64,,640.0,
NVDA,2026-01-11,NVDA,2026-01-16,30.0,C,,,,155.95,30.0,,154.3,,155.5,171.04,171.64,,,6.0000025,,,,,,,154.3,,155.5,171.04,171.64,,3072.0,
NVDA,2026-01-11,NVDA,2026-01-16,31.0,C,,,,153.69,26.0,,153.2,,154.8,171.04,171.64,,,6.507814365234376,,,,,,,153.2,,154.8,171.04,171.64,,241.0,
NVDA,2026-01-11,NVDA,2026-01-16,31.5,C,,,,149.65,2.0,,159.05,,162.25,171.04,171.64,,,14.091798067626955,,,,,,,159.05,,162.25,171.04,171.64,,392.0,
NVDA,2026-01-11,NVDA,2026-01-16,32.0,C,,,,152.58,10.0,,151.3,,154.45,171.04,171.64,,,5.531253085937499,,,,,,,151.3,,154.45,171.04,171.64,,205.0,
NVDA,2026-01-11,NVDA,2026-01-16,32.5,C,,,,157.35,10.0,,150.8,,153.95,171.04,171.64,,,5.500003124999999,,,,,,,150.8,,153.95,171.04,171.64,,765.0,
NVDA,2026-01-11,NVDA,2026-01-16,33.0,C,,,,151.0,6.0,,151.5,,153.45,171.04,171.64,,,7.60937548828125,,,,,,,151.5,,153.45,171.04,171.64,,449.0,
NVDA,2026-01-11,NVDA,2026-01-16,33.5,C,,,,154.63,10.0,,149.8,,152.95,171.04,171.64,,,5.406253242187499,,,,,,,149.8,,152.95,171.04,171.64,,131.0,
NVDA,2026-01-11,NVDA,2026-01-16,34.0,C,,,,153.68,10.0,,149.3,,152.45,171.04,171.64,,,5.343753320312499,,,,,,,149.3,,152.45,171.04,171.64,,232.0,
NVDA,2026-01-11,NVDA,2026-01-16,34.5,C,,,,150.55,13.0,,148.8,,151.95,171.04,171.64,,,5.312503359374999,,,,,,,148.8,,151.95,171.04,171.64,,224.0,
NVDA,2026-01-11,NVDA,2026-01-16,35.0,C,,,,150.88,22.0,,149.25,,150.7,171.04,171.64,,,5.95312755859375,,,,,,,149.25,,150.7,171.04,171.64,,1258.0,
NVDA,2026-01-11,NVDA,2026-01-16,35.5,C,,,,149.73,10.0,,148.0,,150.95,171.04,171.64,,,5.9062526171875005,,,,,,,148.0,,150.95,171.04,171.64,,220.0,
NVDA,2026-01-11,NVDA,2026-01-16,36.0,C,,,,151.97,2.0,,147.3,,150.45,171.04,171.64,,,5.1718785351562495,,,,,,,147.3,,150.45,171.04,171.64,,831.0,
NVDA,2026-01-11,NVDA,2026-01-16,36.5,C,,,,146.05,2.0,,153.85,,156.9,171.04,171.64,,,12.65039271850586,,,,,,,153.85,,156.9,171.04,171.64,,104.0,
NVDA,2026-01-11,NVDA,2026-01-16,37.0,C,,,,150.2,4.0,,146.3,,149.45,171.04,171.64,,,5.0937536328125,,,,,,,146.3,,149.45,171.04,171.64,,569.0,
NVDA,2026-01-11,NVDA,2026-01-16,37.5,C,,,,147.25,10.0,,146.0,,148.95,171.04,171.64,,,5.70312787109375,,,,,,,146.0,,148.95,171.04,171.64,,333.0,
NVDA,2026-01-11,NVDA,2026-01-16,38.0,C,,,,151.55,4.0,,145.3,,148.45,171.04,171.64,,,5.000003749999999,,,,,,,145.3,,148.45,171.04,171.64,,709.0,
NVDA,2026-01-11,NVDA,2026-01-16,38.5,C,,,,144.78,1.0,,147.45,,150.5,171.04,171.64,,,9.203129248046874,,,,,,,147.45,,150.5,171.04,171.64,,345.0,
NVDA,2026-01-11,NVDA,2026-01-16,39.0,C,,,,149.8,1.0,,144.3,,147.45,171.04,171.64,,,4.921878847656249,,,,,,,144.3,,147.45,171.04,171.64,,626.0,
NVDA,2026-01-11,NVDA,2026-01-16,39.5,C,,,,137.23,2.0,,143.95,,146.95,171.04,171.64,,,5.406253242187499,,,,,,,143.95,,146.95,171.04,171.64,,430.0,
NVDA,2026-01-11,NVDA,2026-01-16,40.0,C,,,,144.87,15.0,,144.3,,145.65,171.04,171.64,,,5.484378144531249,,,,,,,144.3,,145.65,171.04,171.64,,5828.0,
NVDA,2026-01-11,NVDA,2026-01-16,40.5,C,,,,149.3,1.0,,143.0,,145.95,171.04,171.64,,,5.437503203124999,,,,,,,143.0,,145.95,171.04,171.64,,1097.0,
NVDA,2026-01-11,NVDA,2026-01-16,41.0,C,,,,144.0,1.0,,143.3,,144.7,171.04,171.64,,,5.500003124999999,,,,,,,143.3,,144.7,171.04,171.64,,1984.0,
NVDA,2026-01-11,NVDA,2026-01-16,41.5,C,,,,135.1,1.0,,142.0,,144.95,171.04,171.64,,,5.351565810546873,,,,,,,142.0,,144.95,171.04,171.64,,1232.0,
NVDA,2026-01-11,NVDA,2026-01-16,42.0,C,,,,143.7,231.0,,142.7,,143.7,171.04,171.64,,,6.011721235351562,,,,,,,142.7,,143.7,171.04,171.64,,3115.0,
NVDA,2026-01-11,NVDA,2026-01-16,42.5,C,,,,147.34,1.0,,141.8,,143.2,171.04,171.64,,,5.367190791015624,,,,,,,141.8,,143.2,171.04,171.64,,2029.0,
NVDA,2026-01-11,NVDA,2026-01-16,43.0,C,,,,142.7,18.0,,141.3,,142.7,171.04,171.64,,,5.328128339843749,,,,,,,141.3,,142.7,171.04,171.64,,3003.0,
NVDA,2026-01-11,NVDA,2026-01-16,43.5,C,,,,146.0,20.0,,140.8,,142.2,171.04,171.64,,,5.289065888671875,,,,,,,140.8,,142.2,171.04,171.64,,2607.0,
NVDA,2026-01-11,NVDA,2026-01-16,44.0,C,,,,141.0,8.0,,139.55,,142.2,171.04,171.64,,,4.546879316406249,,,,,,,139.55,,142.2,171.04,171.64,,1479.0,
NVDA,2026-01-11,NVDA,2026-01-16,44.5,C,,,,143.58,160.0,,139.05,,141.95,171.04,171.64,,,5.20312849609375,,,,,,,139.05,,141.95,171.04,171.64,,1261.0,
NVDA,2026-01-11,NVDA,2026-01-16,45.0,C,,,,140.5,1.0,,139.3,,140.7,171.04,171.64,,,5.164066044921874,,,,,,,139.3,,140.7,171.04,171.64,,7614.0,
NVDA,2026-01-11,NVDA,2026-01-16,45.5,C,,,,144.79,100.0,,138.05,,140.95,171.04,171.64,,,5.12500359375,,,,,,,138.05,,140.95,171.04,171.64,,796.0,
NVDA,2026-01-11,NVDA,2026-01-16,46.0,C,,,,138.95,4.0,,138.1,,139.7,171.04,171.64,,,4.6093792382812495,,,,,,,138.1,,139.7,171.04,171.64,,2167.0,
NVDA,2026-01-11,NVDA,2026-01-16,46.5,C,,,,138.79,7.0,,136.95,,139.95,171.04,171.64,,,4.843753945312499,,,,,,,136.95,,139.95,171.04,171.64,,710.0,
NVDA,2026-01-11,NVDA,2026-01-16,47.0,C,,,,138.95,50.0,,137.2,,138.75,171.04,171.64,,,4.9140663574218735,,,,,,,137.2,,138.75,171.04,171.64,,834.0,
NVDA,2026-01-11,NVDA,2026-01-16,47.5,C,,,,140.55,1.0,,136.1,,138.95,171.04,171.64,,,5.062503671875,,,,,,,136.1,,138.95,171.04,171.64,,795.0,
NVDA,2026-01-11,NVDA,2026-01-16,48.0,C,,,,137.31,5428.0,,136.3,,137.7,171.04,171.64,,,4.937503828124999,,,,,,,136.3,,137.7,171.04,171.64,,7287.0,
NVDA,2026-01-11,NVDA,2026-01-16,48.5,C,,,,136.19,3900.0,,135.8,,137.2,171.04,171.64,,,4.898441376953125,,,,,,,135.8,,137.2,171.04,171.64,,8131.0,
NVDA,2026-01-11,NVDA,2026-01-16,49.0,C,,,,136.35,10.0,,134.55,,137.45,171.04,171.64,,,4.867191416015624,,,,,,,134.55,,137.45,171.04,171.64,,670.0,
NVDA,2026-01-11,NVDA,2026-01-16,49.5,C,,,,138.65,13.0,,134.8,,136.2,171.04,171.64,,,4.828128964843749,,,,,,,134.8,,136.2,171.04,171.64,,10133.0,
NVDA,2026-01-11,NVDA,2026-01-16,50.0,C,,,,135.0,225.0,,134.3,,135.7,171.04,171.64,,,4.796879003906249,,,,,,,134.3,,135.7,171.04,171.64,,29582.0,
NVDA,2026-01-11,NVDA,2026-01-16,50.5,C,,,,137.22,1.0,,133.8,,135.2,171.04,171.64,,,4.757816552734374,,,,,,,133.8,,135.2,171.04,171.64,,10616.0,
NVDA,2026-01-11,NVDA,2026-01-16,51.0,C,,,,133.99,20.0,,133.2,,134.8,171.04,171.64,,,4.726566591796875,,,,,,,133.2,,134.8,171.04,171.64,,731.0,
NVDA,2026-01-11,NVDA,2026-01-16,51.5,C,,,,125.75,10.0,,132.0,,134.95,171.04,171.64,,,4.601566748046874,,,,,,,132.0,,134.95,171.04,171.64,,283.0,
NVDA,2026-01-11,NVDA,2026-01-16,52.0,C,,,,135.48,4.0,,131.45,,134.5,171.04,171.64,,,4.562504296875,,,,,,,131.45,,134.5,171.04,171.64,,1501.0,
NVDA,2026-01-11,NVDA,2026-01-16,52.5,C,,,,132.29,400.0,,131.0,,133.95,171.04,171.64,,,4.5312543359375,,,,,,,131.0,,133.95,171.04,171.64,,747.0,
NVDA,2026-01-11,NVDA,2026-01-16,53.0,C,,,,133.05,5.0,,130.95,,133.45,171.04,171.64,,,5.0976598779296864,,,,,,,130.95,,133.45,171.04,171.64,,1088.0,
NVDA,2026-01-11,NVDA,2026-01-16,53.5,C,,,,139.03,5.0,,130.8,,132.2,171.04,171.64,,,4.554691806640625,,,,,,,130.8,,132.2,171.04,171.64,,1663.0,
NVDA,2026-01-11,NVDA,2026-01-16,54.0,C,,,,134.65,8.0,,129.35,,132.45,171.04,171.64,,,4.0937548828125,,,,,,,129.35,,132.45,171.04,171.64,,615.0,
NVDA,2026-01-11,NVDA,2026-01-16,54.5,C,,,,130.5,13.0,,129.0,,132.0,171.04,171.64,,,4.492191884765624,,,,,,,129.0,,132.0,171.04,171.64,,1291.0,
NVDA,2026-01-11,NVDA,2026-01-16,55.0,C,,,,130.25,110.0,,129.35,,130.7,171.04,171.64,,,4.5351605810546864,,,,,,,129.35,,130.7,171.04,171.64,,8792.0,
NVDA,2026-01-11,NVDA,2026-01-16,55.5,C,,,,129.8,10.0,,128.0,,131.0,171.04,171.64,,,4.4257857177734365,,,,,,,128.0,,131.0,171.04,171.64,,920.0,
NVDA,2026-01-11,NVDA,2026-01-16,56.0,C,,,,135.45,6.0,,128.25,,129.7,171.04,171.64,,,4.312504609374999,,,,,,,128.25,,129.7,171.04,171.64,,3357.0,
NVDA,2026-01-11,NVDA,2026-01-16,56.5,C,,,,147.8,2.0,,123.65,,127.1,171.04,171.64,,,1.0000000000000003e-05,,,,,,,123.65,,127.1,171.04,171.64,,164.0,
NVDA,2026-01-11,NVDA,2026-01-16,57.0,C,,,,128.2,2.0,,126.5,,129.5,171.04,171.64,,,4.332035834960937,,,,,,,126.5,,129.5,171.04,171.64,,857.0,
NVDA,2026-01-11,NVDA,2026-01-16,57.5,C,,,,128.55,2.0,,126.35,,129.0,171.04,171.64,,,4.730472836914062,,,,,,,126.35,,129.0,171.04,171.64,,413.0,
NVDA,2026-01-11,NVDA,2026-01-16,58.0,C,,,,126.37,8.0,,126.3,,127.7,171.04,171.64,,,4.273442158203125,,,,,,,126.3,,127.7,171.04,171.64,,3426.0,
NVDA,2026-01-11,NVDA,2026-01-16,58.5,C,,,,130.92,2.0,,124.85,,128.0,171.04,171.64,,,3.9609375976562498,,,,,,,124.85,,128.0,171.04,171.64,,454.0,
NVDA,2026-01-11,NVDA,2026-01-16,59.0,C,,,,129.25,15.0,,124.35,,127.5,171.04,171.64,,,3.92968767578125,,,,,,,124.35,,127.5,171.04,171.64,,433.0,
NVDA,2026-01-11,NVDA,2026-01-16,59.5,C,,,,132.34,40.0,,124.0,,127.0,171.04,171.64,,,4.179692275390625,,,,,,,124.0,,127.0,171.04,171.64,,861.0,
NVDA,2026-01-11,NVDA,2026-01-16,60.0,C,,,,125.02,30.0,,124.25,,125.5,171.04,171.64,,,3.593751015625,,,,,,,124.25,,125.5,171.04,171.64,,7240.0,
NVDA,2026-01-11,NVDA,2026-01-16,60.5,C,,,,123.65,70.0,,122.85,,126.0,171.04,171.64,,,3.85156287109375,,,,,,,122.85,,126.0,171.04,171.64,,468.0,
NVDA,2026-01-11,NVDA,2026-01-16,61.0,C,,,,123.62,10.0,,123.45,,124.85,171.04,171.64,,,4.4570356787109375,,,,,,,123.45,,124.85,171.04,171.64,,1092.0,
NVDA,2026-01-11,NVDA,2026-01-16,62.0,C,,,,125.2,7.0,,122.25,,123.7,171.04,171.64,,,3.9609375976562498,,,,,,,122.25,,123.7,171.04,171.64,,2386.0,
NVDA,2026-01-11,NVDA,2026-01-16,63.0,C,,,,119.92,2.0,,123.7,,125.25,171.04,171.64,,,6.430666024169922,,,,,,,123.7,,125.25,171.04,171.64,,1609.0,
NVDA,2026-01-11,NVDA,2026-01-16,64.0,C,,,,117.71,2.0,,127.15,,128.65,171.04,171.64,,,8.399418812866209,,,,,,,127.15,,128.65,171.04,171.64,,3648.0,
NVDA,2026-01-11,NVDA,2026-01-16,65.0,C,,,,120.56,90.0,,119.35,,120.65,171.04,171.64,,,3.871094072265625,,,,,,,119.35,,120.65,171.04,171.64,,4375.0,
NVDA,2026-01-11,NVDA,2026-01-16,66.0,C,,,,118.73,1.0,,117.55,,120.5,171.04,171.64,,,3.886719033203125,,,,,,,117.55,,120.5,171.04,171.64,,1298.0,
NVDA,2026-01-11,NVDA,2026-01-16,67.0,C,,,,119.04,1.0,,117.3,,118.75,171.04,171.64,,,3.832031669921875,,,,,,,117.3,,118.75,171.04,171.64,,2138.0,
NVDA,2026-01-11,NVDA,2026-01-16,68.0,C,,,,117.4,60.0,,116.3,,117.7,171.04,171.64,,,3.7148444628906248,,,,,,,116.3,,117.7,171.04,171.64,,8530.0,
NVDA,2026-01-11,NVDA,2026-01-16,69.0,C,,,,116.0,35.0,,115.35,,116.7,171.04,171.64,,,3.72656318359375,,,,,,,115.35,,116.7,171.04,171.64,,5919.0,
NVDA,2026-01-11,NVDA,2026-01-16,70.0,C,,,,115.9,44.0,,114.35,,115.55,171.04,171.64,,,3.46093884765625,,,,,,,114.35,,115.55,171.04,171.64,,10157.0,
NVDA,2026-01-11,NVDA,2026-01-16,71.0,C,,,,114.0,10.0,,113.35,,114.7,171.04,171.64,,,3.6250009375000003,,,,,,,113.35,,114.7,171.04,171.64,,5198.0,
NVDA,2026-01-11,NVDA,2026-01-16,72.0,C,,,,112.52,13.0,,112.35,,113.75,171.04,171.64,,,3.6328134179687503,,,,,,,112.35,,113.75,171.04,171.64,,2385.0,
NVDA,2026-01-11,NVDA,2026-01-16,73.0,C,,,,112.0,11.0,,111.35,,112.7,171.04,171.64,,,3.5273449316406245,,,,,,,111.35,,112.7,171.04,171.64,,5733.0,
NVDA,2026-01-11,NVDA,2026-01-16,74.0,C,,,,111.88,1.0,,109.6,,111.75,171.04,171.64,,,4.433598208007812,,,,,,,109.6,,111.75,171.04,171.64,,1342.0,
NVDA,2026-01-11,NVDA,2026-01-16,75.0,C,,,,109.99,13.0,,109.35,,110.7,171.04,171.64,,,3.4335951660156248,,,,,,,109.35,,110.7,171.04,171.64,,5014.0,
NVDA,2026-01-11,NVDA,2026-01-16,76.0,C,,,,114.75,1.0,,107.55,,110.5,171.04,171.64,,,3.3867202832031245,,,,,,,107.55,,110.5,171.04,171.64,,1549.0,
NVDA,2026-01-11,NVDA,2026-01-16,77.0,C,,,,114.95,140.0,,107.3,,108.75,171.04,171.64,,,3.339845400390624,,,,,,,107.3,,108.75,171.04,171.64,,4724.0,
NVDA,2026-01-11,NVDA,2026-01-16,78.0,C,,,,107.75,20.0,,106.35,,107.7,171.04,171.64,,,3.2929705175781248,,,,,,,106.35,,107.7,171.04,171.64,,2679.0,
NVDA,2026-01-11,NVDA,2026-01-16,79.0,C,,,,105.99,11.0,,105.35,,106.7,171.04,171.64,,,3.2500018749999997,,,,,,,105.35,,106.7,171.04,171.64,,1649.0,
NVDA,2026-01-11,NVDA,2026-01-16,80.0,C,,,,105.85,617.0,,104.35,,105.5,171.04,171.64,,,2.93750265625,,,,,,,104.35,,105.5,171.04,171.64,,28493.0,
NVDA,2026-01-11,NVDA,2026-01-16,81.0,C,,,,104.2,502.0,,103.35,,104.7,171.04,171.64,,,3.1601583496093753,,,,,,,103.35,,104.7,171.04,171.64,,6244.0,
NVDA,2026-01-11,NVDA,2026-01-16,82.0,C,,,,108.83,3.0,,102.35,,103.75,171.04,171.64,,,3.167970830078125,,,,,,,102.35,,103.75,171.04,171.64,,2057.0,
NVDA,2026-01-11,NVDA,2026-01-16,83.0,C,,,,100.13,2.0,,108.25,,109.75,171.04,171.64,,,6.627931402587892,,,,,,,108.25,,109.75,171.04,171.64,,2546.0,
NVDA,2026-01-11,NVDA,2026-01-16,84.0,C,,,,102.05,4.0,,100.35,,101.75,171.04,171.64,,,3.0820335449218748,,,,,,,100.35,,101.75,171.04,171.64,,3707.0,
NVDA,2026-01-11,NVDA,2026-01-16,85.0,C,,,,100.78,404.0,,99.35,,100.65,171.04,171.64,,,2.93750265625,,,,,,,99.35,,100.65,171.04,171.64,,3363.0,
NVDA,2026-01-11,NVDA,2026-01-16,86.0,C,,,,102.07,9.0,,98.35,,99.7,171.04,171.64,,,2.949221376953125,,,,,,,98.35,,99.7,171.04,171.64,,5006.0,
NVDA,2026-01-11,NVDA,2026-01-16,87.0,C,,,,98.85,5.0,,97.35,,98.75,171.04,171.64,,,2.9531276171874996,,,,,,,97.35,,98.75,171.04,171.64,,3131.0,
NVDA,2026-01-11,NVDA,2026-01-16,88.0,C,,,,104.0,10.0,,96.3,,97.75,171.04,171.64,,,2.86719033203125,,,,,,,96.3,,97.75,171.04,171.64,,4717.0,
NVDA,2026-01-11,NVDA,2026-01-16,89.0,C,,,,103.65,2.0,,94.5,,97.5,171.04,171.64,,,2.777346806640625,,,,,,,94.5,,97.5,171.04,171.64,,1402.0,
NVDA,2026-01-11,NVDA,2026-01-16,90.0,C,,,,95.49,196.0,,94.15,,95.7,171.04,171.64,,,2.5468786328124997,,,,,,,94.15,,95.7,171.04,171.64,,13158.0,
NVDA,2026-01-11,NVDA,2026-01-16,91.0,C,,,,94.93,1.0,,92.55,,95.5,171.04,171.64,,,2.746096884765625,,,,,,,92.55,,95.5,171.04,171.64,,1405.0,
NVDA,2026-01-11,NVDA,2026-01-16,92.0,C,,,,92.94,20.0,,92.3,,93.75,171.04,171.64,,,2.7089876025390627,,,,,,,92.3,,93.75,171.04,171.64,,8609.0,
NVDA,2026-01-11,NVDA,2026-01-16,93.0,C,,,,92.63,10.0,,91.35,,92.75,171.04,171.64,,,2.7148469628906247,,,,,,,91.35,,92.75,171.04,171.64,,1839.0,
NVDA,2026-01-11,NVDA,2026-01-16,94.0,C,,,,94.15,1.0,,90.35,,91.75,171.04,171.64,,,2.6757845605468753,,,,,,,90.35,,91.75,171.04,171.64,,4712.0,
NVDA,2026-01-11,NVDA,2026-01-16,95.0,C,,,,90.5,159.0,,89.35,,90.75,171.04,171.64,,,2.6386752783203127,,,,,,,89.35,,90.75,171.04,171.64,,4015.0,
NVDA,2026-01-11,NVDA,2026-01-16,96.0,C,,,,89.0,2.0,,88.3,,89.75,171.04,171.64,,,2.5585973535156246,,,,,,,88.3,,89.75,171.04,171.64,,2773.0,
NVDA,2026-01-11,NVDA,2026-01-16,97.0,C,,,,88.09,5.0,,86.55,,89.5,171.04,171.64,,,2.5195349511718748,,,,,,,86.55,,89.5,171.04,171.64,,1580.0,
NVDA,2026-01-11,NVDA,2026-01-16,98.0,C,,,,87.05,10.0,,86.35,,87.75,171.04,171.64,,,2.5273474316406244,,,,,,,86.35,,87.75,171.04,171.64,,2713.0,
NVDA,2026-01-11,NVDA,2026-01-16,99.0,C,,,,90.75,1.0,,85.35,,86.75,171.04,171.64,,,2.490238149414062,,,,,,,85.35,,86.75,171.04,171.64,,2833.0,
NVDA,2026-01-11,NVDA,2026-01-16,100.0,C,,,,85.21,159.0,,84.35,,85.25,171.04,171.64,,,2.7050813623046874,,,,,,,84.35,,85.25,171.04,171.64,,47560.0,
NVDA,2026-01-11,NVDA,2026-01-16,101.0,C,,,,89.0,32.0,,83.35,,85.5,171.04,171.64,,,2.8291044897460935,,,,,,,83.35,,85.5,171.04,171.64,,2988.0,
